Prompt: scope of datascience with number of cores [0, 1, 2]:  
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O       PIDS
b4724b12233b   llama_training_container   1.91%     577.1MiB / 7.641GiB   7.38%     11.3GB / 236MB   185MB / 10.8GB   10

b4724b12233b   llama_training_container   2.73%     576.2MiB / 7.641GiB   7.36%     11.6GB / 241MB   185MB / 11.1GB   10

b4724b12233b   llama_training_container   1.64%     575MiB / 7.641GiB   7.35%     11.8GB / 247MB   185MB / 11.3GB   10

b4724b12233b   llama_training_container   1.99%     576.4MiB / 7.641GiB   7.37%     12.1GB / 252MB   185MB / 11.6GB   10

b4724b12233b   llama_training_container   2.10%     578.4MiB / 7.641GiB   7.39%     12.3GB / 257MB   185MB / 11.8GB   10

b4724b12233b   llama_training_container   3.46%     576.7MiB / 7.641GiB   7.37%     12.6GB / 262MB   185MB / 12.1GB   10

b4724b12233b   llama_training_container   3.67%     578.5MiB / 7.641GiB   7.39%     12.8GB / 267MB   185MB / 12.3GB   10

b4724b12233b   llama_training_container   1.91%     579.5MiB / 7.641GiB   7.41%     13.1GB / 273MB   185MB / 12.6GB   10

b4724b12233b   llama_training_container   1.69%     580.6MiB / 7.641GiB   7.42%     13.3GB / 278MB   185MB / 12.8GB   10

b4724b12233b   llama_training_container   1.32%     579.5MiB / 7.641GiB   7.41%     13.5GB / 283MB   185MB / 13GB   10

b4724b12233b   llama_training_container   2.17%     578.6MiB / 7.641GiB   7.40%     13.7GB / 287MB   185MB / 13.2GB   10

b4724b12233b   llama_training_container   2.01%     581.7MiB / 7.641GiB   7.43%     13.9GB / 292MB   185MB / 13.4GB   10

b4724b12233b   llama_training_container   3.25%     577.7MiB / 7.641GiB   7.38%     14.2GB / 297MB   185MB / 13.6GB   10

b4724b12233b   llama_training_container   3.42%     573.4MiB / 7.641GiB   7.33%     14.4GB / 302MB   185MB / 13.9GB   10

b4724b12233b   llama_training_container   4.14%     580.6MiB / 7.641GiB   7.42%     14.7GB / 308MB   185MB / 14.1GB   10

b4724b12233b   llama_training_container   1.28%     587.6MiB / 7.641GiB   7.51%     15GB / 313MB   185MB / 14.4GB   10

b4724b12233b   llama_training_container   5.32%     588.7MiB / 7.641GiB   7.52%     15.2GB / 318MB   185MB / 14.7GB   10

b4724b12233b   llama_training_container   1.81%     591.3MiB / 7.641GiB   7.56%     15.4GB / 323MB   185MB / 14.9GB   10

b4724b12233b   llama_training_container   5.88%     592.5MiB / 7.641GiB   7.57%     15.7GB / 328MB   185MB / 15GB   10

b4724b12233b   llama_training_container   2.38%     593.7MiB / 7.641GiB   7.59%     16GB / 333MB   185MB / 15.3GB   10

b4724b12233b   llama_training_container   6.35%     592.3MiB / 7.641GiB   7.57%     16.2GB / 339MB   185MB / 15.6GB   10

b4724b12233b   llama_training_container   2.76%     594MiB / 7.641GiB   7.59%     16.4GB / 344MB   185MB / 15.8GB   10

b4724b12233b   llama_training_container   339.67%   3.92GiB / 7.641GiB   51.31%    16.6GB / 347MB   5.33GB / 18GB   16

