Prompt: scope of datascience with number of cores [0, 1, 2, 3]:  
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
17881745d40d   llama_training_container   0.14%     572.1MiB / 7.641GiB   7.31%     11.6GB / 239MB   187MB / 11.2GB   10

17881745d40d   llama_training_container   7.72%     581.6MiB / 7.641GiB   7.43%     11.8GB / 243MB   187MB / 11.4GB   10

17881745d40d   llama_training_container   0.24%     583.7MiB / 7.641GiB   7.46%     12GB / 248MB   187MB / 11.6GB   10

17881745d40d   llama_training_container   0.81%     584.3MiB / 7.641GiB   7.47%     12.1GB / 248MB   187MB / 11.6GB   10

17881745d40d   llama_training_container   0.34%     584.4MiB / 7.641GiB   7.47%     12.1GB / 249MB   187MB / 11.6GB   10

17881745d40d   llama_training_container   0.31%     582MiB / 7.641GiB   7.44%     12.1GB / 249MB   187MB / 11.7GB   10

17881745d40d   llama_training_container   0.27%     580MiB / 7.641GiB   7.41%     12.1GB / 250MB   187MB / 11.7GB   10

17881745d40d   llama_training_container   0.37%     579.9MiB / 7.641GiB   7.41%     12.1GB / 251MB   187MB / 11.7GB   10

17881745d40d   llama_training_container   0.28%     580.6MiB / 7.641GiB   7.42%     12.1GB / 251MB   187MB / 11.7GB   10

17881745d40d   llama_training_container   0.44%     574.8MiB / 7.641GiB   7.35%     12.1GB / 251MB   187MB / 11.7GB   10

17881745d40d   llama_training_container   0.19%     575.5MiB / 7.641GiB   7.36%     12.1GB / 252MB   187MB / 11.7GB   10

17881745d40d   llama_training_container   0.46%     575.9MiB / 7.641GiB   7.36%     12.2GB / 253MB   187MB / 11.7GB   10

17881745d40d   llama_training_container   0.28%     558.7MiB / 7.641GiB   7.14%     12.2GB / 253MB   187MB / 11.7GB   10

17881745d40d   llama_training_container   0.23%     541.1MiB / 7.641GiB   6.92%     12.2GB / 254MB   187MB / 11.8GB   10

17881745d40d   llama_training_container   0.34%     541.4MiB / 7.641GiB   6.92%     12.2GB / 254MB   187MB / 11.8GB   10

17881745d40d   llama_training_container   0.18%     541.8MiB / 7.641GiB   6.92%     12.2GB / 255MB   187MB / 11.8GB   10

17881745d40d   llama_training_container   0.67%     542.2MiB / 7.641GiB   6.93%     12.2GB / 256MB   187MB / 11.8GB   10

17881745d40d   llama_training_container   0.23%     542.6MiB / 7.641GiB   6.94%     12.2GB / 256MB   187MB / 11.8GB   10

17881745d40d   llama_training_container   0.42%     543.3MiB / 7.641GiB   6.94%     12.2GB / 257MB   187MB / 11.8GB   10

17881745d40d   llama_training_container   2.25%     543.6MiB / 7.641GiB   6.95%     12.3GB / 258MB   187MB / 11.8GB   10

17881745d40d   llama_training_container   1.13%     546.8MiB / 7.641GiB   6.99%     12.4GB / 261MB   187MB / 11.9GB   10

17881745d40d   llama_training_container   2.32%     552MiB / 7.641GiB   7.05%     12.5GB / 265MB   187MB / 12.1GB   10

17881745d40d   llama_training_container   1.44%     550.7MiB / 7.641GiB   7.04%     12.7GB / 269MB   187MB / 12.2GB   10

17881745d40d   llama_training_container   1.80%     551.8MiB / 7.641GiB   7.05%     12.9GB / 274MB   187MB / 12.5GB   10

17881745d40d   llama_training_container   1.15%     554MiB / 7.641GiB   7.08%     13.2GB / 278MB   187MB / 12.7GB   10

17881745d40d   llama_training_container   1.59%     553MiB / 7.641GiB   7.07%     13.4GB / 283MB   187MB / 12.9GB   10

17881745d40d   llama_training_container   0.81%     554.5MiB / 7.641GiB   7.09%     13.6GB / 287MB   187MB / 13.1GB   10

17881745d40d   llama_training_container   1.65%     579.6MiB / 7.641GiB   7.41%     13.8GB / 292MB   187MB / 13.2GB   10

17881745d40d   llama_training_container   2.39%     555MiB / 7.641GiB   7.09%     14.1GB / 297MB   187MB / 13.5GB   10

17881745d40d   llama_training_container   5.05%     556.1MiB / 7.641GiB   7.11%     14.3GB / 302MB   187MB / 13.7GB   10

17881745d40d   llama_training_container   0.99%     556.6MiB / 7.641GiB   7.11%     14.5GB / 306MB   187MB / 13.9GB   10

17881745d40d   llama_training_container   2.39%     554.6MiB / 7.641GiB   7.09%     14.7GB / 311MB   187MB / 14.2GB   10

17881745d40d   llama_training_container   6.94%     557MiB / 7.641GiB   7.12%     15GB / 316MB   187MB / 14.4GB   10

17881745d40d   llama_training_container   2.89%     555.8MiB / 7.641GiB   7.10%     15.3GB / 321MB   187MB / 14.7GB   10

17881745d40d   llama_training_container   2.66%     557.6MiB / 7.641GiB   7.13%     15.5GB / 325MB   187MB / 14.9GB   10

17881745d40d   llama_training_container   2.77%     559.6MiB / 7.641GiB   7.15%     15.8GB / 330MB   187MB / 15.2GB   10

17881745d40d   llama_training_container   6.68%     558.4MiB / 7.641GiB   7.14%     16.1GB / 335MB   187MB / 15.5GB   10

17881745d40d   llama_training_container   2.66%     560.8MiB / 7.641GiB   7.17%     16.3GB / 340MB   187MB / 15.7GB   10

17881745d40d   llama_training_container   1.15%     559.7MiB / 7.641GiB   7.15%     16.6GB / 345MB   187MB / 16GB   10

17881745d40d   llama_training_container   182.94%   4.464GiB / 7.641GiB   58.43%    16.6GB / 346MB   14.8GB / 18.5GB   17


