Prompt: scope of datascience with number of cores = no core specified:  
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
f5fd95495426   llama_training_container   2.11%     573.3MiB / 7.641GiB   7.33%     12.6GB / 244MB   187MB / 12.1GB   10

f5fd95495426   llama_training_container   3.09%     570.7MiB / 7.641GiB   7.29%     12.8GB / 249MB   187MB / 12.4GB   10

f5fd95495426   llama_training_container   4.34%     572.4MiB / 7.641GiB   7.32%     13GB / 254MB   187MB / 12.6GB   10

f5fd95495426   llama_training_container   4.49%     573.3MiB / 7.641GiB   7.33%     13.3GB / 259MB   187MB / 12.9GB   10

f5fd95495426   llama_training_container   6.71%     575MiB / 7.641GiB   7.35%     13.5GB / 264MB   187MB / 13GB   10

f5fd95495426   llama_training_container   7.33%     573.2MiB / 7.641GiB   7.33%     13.8GB / 269MB   187MB / 13.2GB   10

f5fd95495426   llama_training_container   2.22%     574.8MiB / 7.641GiB   7.35%     14GB / 274MB   187MB / 13.5GB   10

f5fd95495426   llama_training_container   5.52%     575.1MiB / 7.641GiB   7.35%     14.2GB / 279MB   187MB / 13.7GB   10

f5fd95495426   llama_training_container   8.87%     575.1MiB / 7.641GiB   7.35%     14.4GB / 283MB   187MB / 13.9GB   10

f5fd95495426   llama_training_container   2.38%     576.2MiB / 7.641GiB   7.36%     14.6GB / 288MB   187MB / 14.1GB   10

f5fd95495426   llama_training_container   5.47%     577.3MiB / 7.641GiB   7.38%     14.9GB / 293MB   187MB / 14.4GB   10

f5fd95495426   llama_training_container   3.80%     578.9MiB / 7.641GiB   7.40%     15.1GB / 298MB   187MB / 14.6GB   10

f5fd95495426   llama_training_container   1.78%     578.1MiB / 7.641GiB   7.39%     15.4GB / 303MB   187MB / 14.9GB   10

f5fd95495426   llama_training_container   5.37%     578.7MiB / 7.641GiB   7.40%     15.6GB / 308MB   187MB / 15GB   10

f5fd95495426   llama_training_container   3.11%     579.7MiB / 7.641GiB   7.41%     15.9GB / 314MB   187MB / 15.3GB   10

f5fd95495426   llama_training_container   2.30%     578.7MiB / 7.641GiB   7.40%     16.1GB / 319MB   187MB / 15.5GB   10

f5fd95495426   llama_training_container   3.03%     579.8MiB / 7.641GiB   7.41%     16.4GB / 324MB   187MB / 15.8GB   10

f5fd95495426   llama_training_container   75.34%    3.391GiB / 7.641GiB   44.38%    16.6GB / 329MB   2.53GB / 17.3GB   13


